nome,classe,bolsa_fonte,tipo_de_ativo,ativo_cancelado,codigo,fechamento_31dez16,fechamento_31dez17,fechamento_31dez18,fechamento_31dez19,fechamento_31dez20,fechamento_31dez21,fechamento_31dez22,valor_mercado_da_empresa_31dez17,valor_mercado_da_empresa_31dez18,valor_mercado_da_empresa_31dez19,valor_mercado_da_empresa_31dez20,valor_mercado_da_empresa_31dez21,valor_mercado_da_empresa_31dez22,patrim_liq_dez_2017,patrim_liq_dez_2018,patrim_liq_dez_2019,patrim_liq_dez_2020,patrim_liq_dez_2021,patrim_liq_dez_2022
3r Petroleum,ON,Bovespa,Ação,ativo,RRRP3,NA,NA,NA,NA,36.621022764,33.027831014,37.162462617,NA,NA,NA,4073561.5224,6796997.7669,7666558.108,232170,255919,236793,1077100,4107890,4282439
3tentos,ON,Bovespa,Ação,ativo,TTEN3,NA,NA,NA,NA,NA,9.6206115511,9.2311485022,NA,NA,NA,NA,4807768.14,4632207.76,NA,299458,399821,712132,2236240,2816976
524 Particip,ON,Bovespa,Ação,ativo,QVQP3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,93,55,150,112,117
Abc Brasil,PN,Bovespa,Ação,ativo,ABCB4,8.9555442263,12.062362092,12.874767106,16.485717758,13.29214307,14.449478995,19.27,3304854.6963,3387283.5944,4216503.8946,3405961.2334,3437405.6177,4255833.5909,3284332,3665510,4040733,4288263,4669463,5205386
Aco Altona,ON,Bovespa,Ação,ativo,EALT3,NA,NA,3.4146628443,12.063338741,11.258169371,11.113835124,9,74250,94282.5,220012.5,190117.5,218287.5,173175,97996,154624,162778,183640,187717,215087
Aco Altona,PN,Bovespa,Ação,ativo,EALT4,0.71687638586,2.3144872267,3.1666739231,4.9844247243,4.0828837187,6.375694124,6.7,74250,94282.5,220012.5,190117.5,218287.5,173175,97996,154624,162778,183640,187717,215087
Aeris,ON,Bovespa,Ação,ativo,AERI3,NA,NA,NA,NA,9.9653226848,6.5272863586,1.13,NA,NA,NA,7662134.56,4999048.1368,845004.29556,101727,129839,174210,966252,999592,884868
AES Brasil,ON,Bovespa,Ação,ativo,AESB3,10.263709193,9.9267091978,8.4012166841,14.496453438,15.985526726,10.895568303,9.66,5075342.46,3989621.2,6972462.49,6660846.86,5447618.8997,5814617.8243,1557690,1523474,1451170,1842458,3223075,4391178
Aesoperacoes,ON,Bovespa,Ação,ativo,AESO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2154,3202404,2729781
Afluente T,ON,Bovespa,Ação,ativo,AFLT3,1.9613811702,3.783392695,4.3577115177,8.7731077686,8.3816646245,8.0821345056,8.6578952913,313532.45,350121.75,698981.8,622018.1,559563.95,584797.95,44935,195754,214346,187459,247518,260732
Agribrasil,ON,Bovespa,Ação,ativo,GRAO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1312,26038,27639,142479
Agrogalaxy,ON,Bovespa,Ação,ativo,AGXY3,NA,NA,NA,NA,NA,10.487234222,9.86,NA,NA,NA,NA,1786470.7377,1650852.9966,171051,183875,192059,1015667,1458744,1485032
Alfa Consorc,ON,Bovespa,Ação,ativo,BRGE3,NA,3.527363422,4.0186342414,14.999161712,10.269426052,7.1,9.65,248994.6591,262387.60801,951011.27242,687134.61558,533585.37148,698734.10027,1090754,1145368,1191299,1234611,1249658,1289789
Alfa Consorc,PNA,Bovespa,Ação,ativo,BRGE5,1.683377804,NA,2.0650419206,40.00999098,11.404341092,NA,NA,248994.6591,262387.60801,951011.27242,687134.61558,533585.37148,698734.10027,1090754,1145368,1191299,1234611,1249658,1289789
Alfa Consorc,PNB,Bovespa,Ação,ativo,BRGE6,NA,NA,NA,8.9334657368,15.459096642,7.867547705,11.482190525,248994.6591,262387.60801,951011.27242,687134.61558,533585.37148,698734.10027,1090754,1145368,1191299,1234611,1249658,1289789
Alfa Consorc,PNC,Bovespa,Ação,ativo,BRGE7,NA,NA,1.978981508,NA,NA,NA,NA,248994.6591,262387.60801,951011.27242,687134.61558,533585.37148,698734.10027,1090754,1145368,1191299,1234611,1249658,1289789
Alfa Consorc,PND,Bovespa,Ação,ativo,BRGE8,NA,NA,NA,9.6877461714,7.3214266347,9.106127183,9.050237134,248994.6591,262387.60801,951011.27242,687134.61558,533585.37148,698734.10027,1090754,1145368,1191299,1234611,1249658,1289789
Alfa Consorc,PNE,Bovespa,Ação,ativo,BRGE11,NA,3.2920398072,NA,13.875849514,9.0038036022,6.9922132029,7.4993212539,248994.6591,262387.60801,951011.27242,687134.61558,533585.37148,698734.10027,1090754,1145368,1191299,1234611,1249658,1289789
