ano,mes,consumo,data
2004,1,78698.21,2004-01-01
2004,2,68827.4,2004-02-01
2004,3,74707.05,2004-03-01
2004,4,75635.45,2004-04-01
2004,5,71575.22,2004-05-01
2004,6,69427.18,2004-06-01
2004,7,68034.16,2004-07-01
2004,8,65567.87,2004-08-01
2004,9,71382.75,2004-09-01
2004,10,73990.8,2004-10-01
2004,11,72830.77,2004-11-01
2004,12,73885.75,2004-12-01
2005,1,79106.92,2005-01-01
2005,2,78452.63,2005-02-01
2005,3,76801.26,2005-03-01
2005,4,78728.62,2005-04-01
2005,5,75523.34,2005-05-01
2005,6,72169.31,2005-06-01
2005,7,71264.5,2005-07-01
2005,8,71010.5,2005-08-01
2005,9,72031.47,2005-09-01
2005,10,75139.86,2005-10-01
2005,11,77841.42,2005-11-01
2005,12,75965.18,2005-12-01
2006,1,79499.16,2006-01-01
2006,2,77721.26,2006-02-01
2006,3,76804.87,2006-03-01
2006,4,83841.51,2006-04-01
2006,5,81680.27,2006-05-01
2006,6,79882.13,2006-06-01
2006,7,76275.81,2006-07-01
2006,8,77328.52,2006-08-01
2006,9,78144.78,2006-09-01
2006,10,80419.16,2006-10-01
2006,11,87037.23,2006-11-01
2006,12,83086.47,2006-12-01
2007,1,84129,2007-01-01
2007,2,81750,2007-02-01
2007,3,79591,2007-03-01
2007,4,86140,2007-04-01
2007,5,82696,2007-05-01
2007,6,78888,2007-06-01
2007,7,74777,2007-07-01
2007,8,75203,2007-08-01
2007,9,74758,2007-09-01
2007,10,80469,2007-10-01
2007,11,85450,2007-11-01
2007,12,82043,2007-12-01
2008,1,92313,2008-01-01
2008,2,90445,2008-02-01
2008,3,85063,2008-03-01
2008,4,88307,2008-04-01
2008,5,87667,2008-05-01
2008,6,82648,2008-06-01
2008,7,81357,2008-07-01
2008,8,83162,2008-08-01
2008,9,82982,2008-09-01
2008,10,86754,2008-10-01
2008,11,89451,2008-11-01
2008,12,91541,2008-12-01
2009,1,98528,2009-01-01
2009,2,89018,2009-02-01
2009,3,87852,2009-03-01
2009,4,97128,2009-04-01
2009,5,90372,2009-05-01
2009,6,87988,2009-06-01
2009,7,86847,2009-07-01
2009,8,89376,2009-08-01
2009,9,87128,2009-09-01
2009,10,94284,2009-10-01
2009,11,96854,2009-11-01
2009,12,99264,2009-12-01
2010,1,104030,2010-01-01
2010,2,98929,2010-02-01
2010,3,106688,2010-03-01
2010,4,114084,2010-04-01
2010,5,104937,2010-05-01
2010,6,103885,2010-06-01
2010,7,99376,2010-07-01
2010,8,98072,2010-08-01
2010,9,99415,2010-09-01
2010,10,102684,2010-10-01
2010,11,112207,2010-11-01
2010,12,119984,2010-12-01
2011,1,114365,2011-01-01
2011,2,106893,2011-02-01
2011,3,116793,2011-03-01
2011,4,116322,2011-04-01
2011,5,114762,2011-05-01
2011,6,109440,2011-06-01
2011,7,110656,2011-07-01
2011,8,104844,2011-08-01
2011,9,107633,2011-09-01
2011,10,113022,2011-10-01
2011,11,116803,2011-11-01
2011,12,124063,2011-12-01
2012,1,121819,2012-01-01
2012,2,112854,2012-02-01
2012,3,124322,2012-03-01
2012,4,125762,2012-04-01
2012,5,119875,2012-05-01
2012,6,119117,2012-06-01
2012,7,114984,2012-07-01
2012,8,118029,2012-08-01
2012,9,110245,2012-09-01
2012,10,119561,2012-10-01
2012,11,119141,2012-11-01
2012,12,125176,2012-12-01
2013,1,144404,2013-01-01
2013,2,137314,2013-02-01
2013,3,137722,2013-03-01
2013,4,141376,2013-04-01
2013,5,136947,2013-05-01
2013,6,127456,2013-06-01
2013,7,130119,2013-07-01
2013,8,124950,2013-08-01
2013,9,124408,2013-09-01
2013,10,130327,2013-10-01
2013,11,132214,2013-11-01
2013,12,136190,2013-12-01
2014,1,156209,2014-01-01
2014,2,152500,2014-02-01
2014,3,148289,2014-03-01
2014,4,145010,2014-04-01
2014,5,149550,2014-05-01
2014,6,139294,2014-06-01
2014,7,139293,2014-07-01
2014,8,129292,2014-08-01
2014,9,136205,2014-09-01
2014,10,137481,2014-10-01
2014,11,143819,2014-11-01
2014,12,142983,2014-12-01
2015,1,163829,2015-01-01
2015,2,155788,2015-02-01
2015,3,154323,2015-03-01
2015,4,151249,2015-04-01
2015,5,150361,2015-05-01
2015,6,147245,2015-06-01
2015,7,131959,2015-07-01
2015,8,138113,2015-08-01
2015,9,145020,2015-09-01
2015,10,142802,2015-10-01
2015,11,143581,2015-11-01
2015,12,147654,2015-12-01
2016,1,156327,2016-01-01
2016,2,149039,2016-02-01
2016,3,155707,2016-03-01
2016,4,154537,2016-04-01
2016,5,150292,2016-05-01
2016,6,148674,2016-06-01
2016,7,146731,2016-07-01
2016,8,140929,2016-08-01
2016,9,149691,2016-09-01
2016,10,145862,2016-10-01
2016,11,156715,2016-11-01
2016,12,157630,2016-12-01
